form,root,to_derive,to_translate,word,context,lgg,trs_direct,trs_context,trs_dbl_trans,to_check,word_type,end_class
v,acquire,yes,yes,acquire,aquire a website,bn,অর্জন,একটি ওয়েবসাইট aquire,Acquisition,XXX,attr,sale
v,acquire,yes,yes,acquired,website is acquired,bn,অর্জিত,ওয়েবসাইট অর্জিত হয়,Acquired,,attr,sale
n,acquire,yes,yes,acquirer,the acquirer of this website is happy,bn,অধিকারির,এই ওয়েবসাইটির অধিকারির খুশি,Acquirer,,attr,sale
v,acquire,yes,yes,acquires,it acquires your domain,bn,acquires,আপনার ডোমেন acquires,acquires,,attr,sale
v,acquire,yes,yes,acquiring,acquiring a website,bn,অর্জন,একটি ওয়েবসাইট অর্জন,Acquisition,,attr,sale
n,acquire,yes,yes,acquisition,acquisition of website is free,bn,অর্জন,ওয়েবসাইট অধিগ্রহণের মুক্ত,Acquisition,XXX,attr,sale
n,acquire,yes,yes,acquisitions,website acquisitions for free,bn,অধিগ্রহণ,বিনামূল্যে জন্য ওয়েবসাইট অধিগ্রহণ,Acquisitions,,attr,sale
a,authorized,yes,yes,authorized,website is not authorized,bn,অনুমোদিত,ওয়েবসাইট অনুমোদিত নয়,Approved,,attr,other
a,available,yes,yes,available,website is available,bn,সহজলভ্য,ওয়েবসাইট পাওয়া যায়,Available,XXX,attr,other
n,available,yes,yes,availableness,availableness is not guaranteed,bn,availableness,availableness নিশ্চিত করা হয় না,availableness,,attr,other
v,block,yes,yes,block,block your website,bn,বাধা,আপনার ওয়েবসাইট ব্লক,Barrier,XXX,attr,blocked
v,block,yes,yes,blocked,website is blocked,bn,অবরুদ্ধ,ওয়েবসাইট কে অবরুদ্ধ করা হয়েছে,Blocked,,attr,blocked
v,block,yes,yes,blocking,blocking your website,bn,ব্লক করা,আপনার ওয়েবসাইট ব্লক করা,Block,,attr,blocked
v,buy,yes,yes,bought,domain is bought,bn,কিনলেন,ডোমেইন কেনা হয়,Bought,XXX,attr,sale
v,buy,yes,yes,buy,buy this domain,bn,কেনা,এই ডোমেইন কিনতে,Bought,XXX,attr,sale
n,buy,yes,yes,buy,a buy of domain is good,bn,কেনা,ডোমেনের একটি কিনতে ভাল,Bought,XXX,attr,sale
n,buy,yes,yes,buyer,the website buyer is happy,bn,ক্রেতা,ওয়েবসাইট ক্রেতা খুশি,Customer,,attr,sale
n,buy,yes,yes,buyers,the website buyers are happy,bn,ক্রেতাদের,ওয়েবসাইট ক্রেতাদের খুশি,Buyers,,attr,sale
v,buy,yes,yes,buying,you are buying this website,bn,ক্রয়,আপনি এই ওয়েবসাইট কিনছেন,Purchase,XXX,attr,sale
v,buy,yes,yes,buys,owner buys websites,bn,ক্রয়,মালিক ক্রয় ওয়েবসাইট,Purchase,,attr,sale
v,censor,yes,yes,censor,how to censor a website,bn,সমালোচক,কিভাবে একটি ওয়েবসাইট সেন্সর করার,Reviewer,XXX,attr,blocked
v,censor,yes,yes,censored,website is censored,bn,সেন্সর,ওয়েবসাইট সেন্সর করা হয়,Sensor,,attr,blocked
v,censor,yes,yes,censoring,court is censoring this website,bn,সেন্সর,আদালত এই ওয়েবসাইট সেন্সর করা হয়,Sensor,,attr,blocked
v,come,yes,yes,coming,website is coming soon,bn,আসছে,ওয়েবসাইট শীঘ্রই আসছে,Coming,,other,other
v,construct,yes,yes,construct,how to construct a website,bn,কনস্ট্রাক্ট,কিভাবে একটি ওয়েবসাইট নির্মাণ করতে,Construct,XXX,attr,construction
n,construct,yes,yes,construct,a construct of website is great,bn,কনস্ট্রাক্ট,ওয়েবসাইট এর একটি কনস্ট্রাক্ট মহান,Construct,,attr,construction
v,construct,yes,yes,constructed,website is constructed,bn,নির্মিত,ওয়েবসাইট নির্মান করা হয়,Created,XXX,attr,construction
v,construct,yes,yes,constructing,constructing a website,bn,নির্মাতা,একটি ওয়েবসাইট নির্মাণের,Builder,XXX,attr,construction
n,construct,yes,yes,construction,website is under construction,bn,নির্মাণ,ওয়েবসাইট নির্মাণ অধীন হয়,Construction,,attr,construction
n,construct,yes,yes,constructions,constructions of a website,bn,বাক্য,একটি ওয়েবসাইটের বাক্য,Sentence,,attr,construction
n,construct,yes,yes,constructor,the website constructor is busy,bn,নির্মাতা,ওয়েবসাইট কন্সট্রাকটর ব্যস্ত,Builder,XXX,attr,construction
n,construct,yes,yes,constructors,website constructors are busy,bn,কনস্ট্রাকট,ওয়েবসাইট কনস্ট্রাকটর ব্যস্ত,Constructor,,attr,construction
v,construct,yes,yes,constructs,it constructs a website,bn,নির্মান,এটা একটি ওয়েবসাইট নির্মান,Construction,,attr,construction
v,create,yes,yes,create,create your website,bn,সৃষ্টি,আপনার ওয়েবসাইট তৈরি,Creation,XXX,attr,starter
v,create,yes,yes,created,website is created with you,bn,নির্মিত,ওয়েবসাইট সঙ্গে তৈরি করা হয়,Created,XXX,attr,starter
v,create,yes,yes,creates,he creates his website,bn,সৃষ্টি,তিনি তার ওয়েবসাইটে সৃষ্টি,Creation,,attr,starter
v,create,yes,yes,creating,creating your website is good,bn,তৈরি,আপনার ওয়েবসাইট তৈরি উত্তম,Create,,attr,starter
n,create,yes,yes,creation,creation of a website is free,bn,সৃষ্টি,একটি ওয়েবসাইট তৈরি করা হয় বিনামূল্যে,Creation,XXX,attr,starter
n,create,yes,yes,creator,creator of the website has not finished yet,bn,স্রষ্টা,ওয়েবসাইটের স্রষ্টা এখনও শেষ হয়নি,Creator,,attr,starter
n,create,yes,yes,creators,creator of the website have not finished yet,bn,স্রষ্টাদের,ওয়েবসাইটের স্রষ্টা এখনো শেষ করিনি,Creators,XXX,attr,starter
v,default,yes,yes,default,how to default a website,bn,ডিফল্ট,কিভাবে একটি ওয়েবসাইট ডিফল্ট,Default,,attr,other
n,default,yes,yes,default,this website is a default,bn,ডিফল্ট,এই ওয়েবসাইটে একটি ডিফল্ট,Default,,attr,other
v,default,yes,yes,defaulted,website is defaulted to this page,bn,খেলা,ওয়েবসাইট এই পৃষ্ঠায় ডিফল্ট হয়,Default,XXX,attr,other
n,default,yes,yes,defaults,these websites are defaults,bn,পূর্ব নির্ধারিত,এই ওয়েবসাইটের অক্ষমতা আছে,Default,XXX,attr,other
v,delete,yes,yes,delete,delete your website,bn,মুছে ফেলা,আপনার ওয়েবসাইট মুছতে,Deleted,XXX,attr,expired
v,delete,yes,yes,deleted,website is deleted,bn,মুছে যাওয়া,ওয়েবসাইট মুছে ফেলা হয়,Deleted,XXX,attr,expired
v,delete,yes,yes,deletes,it deletes your page,bn,মোছাগুলিকে,এটা আপনার পৃষ্ঠার মুছে ফেলে,Deletes,XXX,attr,expired
v,delete,yes,yes,deleting,deleting your website,bn,মুছে ফেলা,আপনার ওয়েবসাইট মোছার,Deleted,XXX,attr,expired
v,develop,yes,yes,develop,owners develop website,bn,বিকাশ,মালিকদের ওয়েবসাইট বিকাশ,Develop,,attr,other
v,develop,yes,yes,developed,website is developed,bn,উন্নত,ওয়েবসাইট বিকশিত হয়,Improved,XXX,attr,other
n,develop,yes,yes,developer,developer is programming,bn,ডেভেলপার,ডেভেলপার প্রোগ্রামিং হয়,Developer,,attr,other
n,develop,yes,yes,developers,developers are programming websites,bn,ডেভেলপারদের,ডেভেলপারদের ওয়েবসাইট প্রোগ্রামিং করছে,Developers,,attr,other
v,develop,yes,yes,developing,website is developing the website,bn,উন্নয়নশীল,ওয়েবসাইট ওয়েবসাইট উন্নয়নশীল হয়,Developing,,attr,other
n,develop,yes,yes,developing,developing your website is good,bn,উন্নয়নশীল,আপনার ওয়েবসাইট উন্নয়নশীল ভালো,Developing,,attr,other
n,develop,yes,yes,development,page under development,bn,উন্নয়ন,উন্নয়ন অধীনে পৃষ্ঠা,Development,,attr,other
n,develop,yes,yes,developments,developments are ongoing,bn,উন্নয়ন,উন্নয়ন চলছে,Development,,attr,other
v,develop,yes,yes,develops,owner develops website,bn,বিকাশ,মালিক ওয়েবসাইট বিকাশ,Develop,,attr,other
v,display,yes,yes,display,display your new website,bn,প্রদর্শন,আপনার নতুন ওয়েবসাইট প্রদর্শন,Display,,attr,other
v,display,yes,yes,displayed,this page is displayed automatically,bn,প্রদর্শিত,এই পৃষ্ঠার স্বয়ংক্রিয়ভাবে প্রদর্শন করা হয়,Displayed,XXX,attr,other
v,display,yes,yes,displaying,this page is displaying a new website,bn,প্রদর্শক,এই পৃষ্ঠার একটি নতুন ওয়েবসাইট প্রদর্শন করা হয়,Demonstrating,XXX,attr,other
v,display,yes,yes,displays,this page displays a new website,bn,প্রদর্শন,এই পৃষ্ঠার একটি নতুন ওয়েবসাইট প্রদর্শন,Display,,attr,other
n,display,yes,yes,displays,this page displays a new website,bn,প্রদর্শন,এই পৃষ্ঠার একটি নতুন ওয়েবসাইট প্রদর্শন,Display,,attr,other
n,domain,yes,yes,domain,this internet domain is great,bn,ডোমেইন,এই ইন্টারনেট ডোমেইন মহান,Domain,,core,other
n,domain,yes,yes,domains,these internet domains are great,bn,ডোমেইনের,এই ইন্টারনেট ডোমেইনের মহান,Domain,,core,other
v,establish,yes,yes,establish,establish your website,bn,স্থাপন করা,আপনার ওয়েবসাইট প্রতিষ্ঠা,Establish,XXX,attr,other
v,establish,yes,yes,established,website is established by us,bn,প্রতিষ্ঠিত,ওয়েবসাইট আমাদের দ্বারা প্রতিষ্ঠিত,Established,,attr,other
v,establish,yes,yes,establishes,it establishes websites,bn,স্থাপন,এটা ওয়েবসাইটের স্থাপন,Placing,,attr,other
v,establish,yes,yes,establishing,establishing your website,bn,প্রতিষ্ঠার,আপনার ওয়েবসাইট প্রতিষ্ঠার,The establishment,,attr,other
n,establish,yes,yes,establishment,website establishment for free,bn,সংস্থা,বিনামূল্যে জন্য ওয়েবসাইট প্রতিষ্ঠা,Agencies,XXX,attr,other
n,expire,yes,yes,expiration,expiration is reached,bn,শ্বাসত্যাগ,মেয়াদ শেষের উপনিত,Exhalation,XXX,attr,expired
v,expire,yes,yes,expire,websites expire soon,bn,নি: শ্বাস ফেলা,ওয়েবসাইট শীঘ্রই মেয়াদ শেষ,Expire,XXX,attr,expired
v,expire,yes,yes,expired,websites is expired,bn,মেয়াদোত্তীর্ণ,ওয়েবসাইট মেয়াদ শেষ হয়েছে,Expired,XXX,attr,expired
v,expire,yes,yes,expires,website expires soon,bn,মেয়াদ শেষ,ওয়েবসাইট শীঘ্রই মেয়াদ শেষ,Expires,,attr,expired
v,expire,yes,yes,expiring,website is expiring soon,bn,মেয়াদ উত্তীর্ণ,ওয়েবসাইট মেয়াদ উত্তীর্ণ হতে চলেছে,Expired,,attr,expired
r,first,yes,yes,first,this is your first article,bn,প্রথম,এই আপনার প্রথম নিবন্ধ,First,,attr,starter
v,generate,yes,yes,generate,algorithms generate automatically,bn,জেনারেট,আলগোরিদিম স্বয়ংক্রিয়ভাবে জেনারেট,Generated,,attr,other
v,generate,yes,yes,generated,page is generated automatically,bn,উত্পন্ন,পৃষ্ঠা স্বয়ংক্রিয়ভাবে উত্পন্ন করা হয় না,Made,,attr,other
v,generate,yes,yes,generates,algorithm generates automatically,bn,উত্পন্ন,অ্যালগরিদম স্বয়ংক্রিয়ভাবে উত্পন্ন,Made,,attr,other
v,generate,yes,yes,generating,algorithm is generating automatically,bn,উৎপাদিত,অ্যালগরিদম স্বয়ংক্রিয়ভাবে উৎপাদিত হয়,Generating,,attr,other
n,generate,yes,yes,generation,page generation is automatic,bn,প্রজন্ম,পৃষ্ঠা প্রজন্ম স্বয়ংক্রিয় হয়,Generation,,attr,other
n,generate,yes,yes,generations,page generations are free,bn,প্রজন্ম,পৃষ্ঠা প্রজন্মের মুক্ত,Generation,,attr,other
n,generate,yes,yes,generator,a page generator is provided,bn,উত্পাদক,একটি পৃষ্ঠায় জেনারেটর প্রদান করা হয়,Generator,XXX,attr,other
n,generate,yes,yes,generators,page generators are available,bn,জেনারেটর,পৃষ্ঠা জেনারেটর পাওয়া যায়,Generator,,attr,other
v,link,yes,yes,link,link your domain to a website,bn,লিংক,একটি ওয়েবসাইটে আপনার ডোমেন লিঙ্ক,Link,XXX,attr,other
n,link,yes,yes,linkage,linkage of websites and domain,bn,দুটো ঘটনার,ওয়েবসাইট এবং ডোমেনের দুটো ঘটনার,Linkage,,attr,other
v,link,yes,yes,linked,domain is linked to a website,bn,সংযুক্ত,ডোমেইন একটি ওয়েবসাইট লিঙ্ক করা হয়েছে,Attached,XXX,attr,other
v,link,yes,yes,linking,linking your domain to a website,bn,লিঙ্ক,একটি ওয়েবসাইটে আপনার ডোমেন লিঙ্ক,Link,,attr,other
v,link,yes,yes,links,it links a website to a domain,bn,লিংক,এটি একটি ডোমেইন একটি ওয়েবসাইটকে লিঙ্ক,Link,XXX,attr,other
v,maintain,yes,yes,maintain,maintain your website,bn,বজায় রাখা,আপনার ওয়েবসাইট বজায় রাখা,Maintain,,attr,construction
v,maintain,yes,yes,maintained,website is maintained,bn,রক্ষণাবেক্ষণ,ওয়েবসাইট রক্ষা করা হয়,Maintenance,XXX,attr,construction
n,maintain,yes,yes,maintainer,the maintainer is busy,bn,পালক,রক্ষণাবেক্ষণকারী ব্যস্ত,Feather,XXX,attr,construction
n,maintain,yes,yes,maintainers,the maintainers are busy,bn,রক্ষণাবেক্ষণকারী,রক্ষণাবেক্ষণকারীকে ব্যস্ত,Maintainers,,attr,construction
v,maintain,yes,yes,maintaining,the owner is maintaining this website,bn,বজায় রাখার,মালিক এই ওয়েবসাইট বজায় রাখার হয়,To maintain,,attr,construction
n,maintain,yes,yes,maintenance,website is under maintenance,bn,রক্ষণাবেক্ষণ,ওয়েবসাইট রক্ষণাবেক্ষণ বয়সী,Maintenance,,attr,construction
n,maintain,yes,yes,maintenances,maintenances are done,bn,রক্ষণাবেক্ষণ,রক্ষণাবেক্ষণ করা হয়,Maintenance,,attr,construction
v,open,yes,yes,opened,domain is opened by you,bn,খোলা,ডোমেইন আপনি খোলা হয়,Open,,attr,other
v,open,yes,yes,opening,website is opening soon,bn,উদ্বোধন,ওয়েবসাইট শীঘ্রই খুলছে,Opening,XXX,attr,other
v,own,yes,yes,own,they own this website,bn,নিজের,তারা এই ওয়েবসাইট মালিক,Own,XXX,attr,reserved
v,own,yes,yes,owned,this website is owned by you,bn,মালিকানাধীন,এই ওয়েবসাইট মালিকানাধীন হয়,Owned,,attr,reserved
n,own,yes,yes,owner,the owner of this domain,bn,মালিক,এই ডোমেনের মালিক,Owner,,attr,reserved
n,own,yes,yes,owners,the owners of this domain,bn,মালিকদের,এই ডোমেইন মালিকদের,Owners,,attr,reserved
n,own,yes,yes,ownership,ownership of a website,bn,মালিকানা,একটি ওয়েবসাইট মালিকানা,Ownership,,attr,reserved
n,own,yes,yes,ownerships,ownerships of a website,bn,মালিকানা,একটি ওয়েবসাইটের মালিকানা,Ownership,,attr,reserved
v,own,yes,yes,owning,owning a website,bn,মালিক,একটি ওয়েবসাইট মালিক,Owner,,attr,reserved
v,own,yes,yes,owns,the man owns this website,bn,মালিক,মানুষ এই ওয়েবসাইট মালিক,Owner,,attr,reserved
v,page,yes,yes,page,this is a new website page,bn,পৃষ্ঠা,এই একটি নতুন ওয়েবসাইট পাতা,Page,XXX,core,other
v,page,yes,yes,paged,this website is not paged yet,bn,পেজড,এই ওয়েবসাইট এখনো পেজড নয়,Paged,,core,other
v,page,yes,yes,pages,add your pages to this website,bn,পৃষ্ঠাগুলি,এই ওয়েবসাইটে আপনার পৃষ্ঠাগুলি যুক্ত করুন,Pages,,core,other
v,park,yes,yes,park,to park a domain,bn,পার্ক,একটি ডোমেন পার্কিং করার জন্য,Park,,attr,other
v,park,yes,yes,parked,domain is parked,bn,পার্ক করা,ডোমেইন পার্ক করা হয়,Parked,,attr,other
v,park,yes,yes,parking,this website is a parking page,bn,পার্কিং,এই ওয়েবসাইট একটি পার্কিং পাতা,Parking,,attr,other
v,post,yes,yes,post,post your first article,bn,পোস্ট,আপনার প্রথম নিবন্ধটি পোস্ট,Posts,,core,other
n,post,yes,yes,post,this is a first post on this page,bn,পোস্ট,এই পাতায় একটি প্রথম পোস্ট,Posts,,core,other
v,post,yes,yes,posted,this page is posted automatically,bn,পোস্ট,এই পৃষ্ঠার স্বয়ংক্রিয়ভাবে পোস্ট করা হয়,Posts,,core,other
v,post,yes,yes,posting,posting on this page is nice,bn,পোস্টিং,এই পৃষ্ঠাতে পোস্ট সুন্দর,Postings,XXX,core,other
v,post,yes,yes,posts,it posts a new article,bn,পোস্ট,এটি একটি নতুন নিবন্ধ পোস্ট,Posts,,core,other
n,post,yes,yes,posts,start writing your posts,bn,পোস্ট,আপনার পোস্ট লেখা শুরু,Posts,,core,other
v,propagate,yes,yes,propagate,propagate your website,bn,প্রসারিত করা,আপনার ওয়েবসাইট সঞ্চারিত,Extend,XXX,attr,other
v,propagate,yes,yes,propagated,domain is propagated,bn,প্রচারিত,ডোমেইন প্রচারিত হয়,Circulated,,attr,other
v,propagate,yes,yes,propagates,it propagates your website,bn,বংশ বিস্তার,এটি আপনার ওয়েবসাইট propagates,Propagates,XXX,attr,other
v,propagate,yes,yes,propagating,propagating your website,bn,প্রচারের,আপনার ওয়েবসাইট প্রচার,Promotion,XXX,attr,other
n,propagate,yes,yes,propagation,website and domain propagation,bn,প্রসারণ,ওয়েবসাইট ডোমেইন প্রসারণ,Propagation,,attr,other
v,purchase,yes,yes,purchase,purchase this domain,bn,ক্রয়,এই ডোমেইন ক্রয়,Purchase,,attr,sale
n,purchase,yes,yes,purchase,the owners purchase websites,bn,ক্রয়,মালিকদের ওয়েবসাইট ক্রয়,Purchase,,attr,sale
v,purchase,yes,yes,purchased,domain is purchased by you,bn,কেনা,আপনি যে ডোমেনটি কিনে হয়,Bought,XXX,attr,sale
n,purchase,yes,yes,purchaser,the purchaser of website is happy,bn,ক্রেতা,ওয়েবসাইটের ক্রেতা খুশি,Customer,,attr,sale
n,purchase,yes,yes,purchasers,the purchasers of website are happy,bn,ক্রয়কারী,ওয়েবসাইটের ক্রয়কারী খুশি,Purchasers,,attr,sale
v,purchase,yes,yes,purchases,owner purchases websites,bn,কেনাকাটা,মালিক ক্রয়ের ওয়েবসাইট,Shopping,XXX,attr,sale
n,purchase,yes,yes,purchases,the owner purchases websites,bn,কেনাকাটা,মালিক ক্রয়ের ওয়েবসাইট,Shopping,XXX,attr,sale
v,purchase,yes,yes,purchasing,purchasing a website is good,bn,ক্রয়,একটি ওয়েবসাইট ক্রয় ভালো,Purchase,,attr,sale
v,register,yes,yes,register,register your domain here,bn,নিবন্ধন,আপনার ডোমেনের এখানে রেজিস্টার,Registration,XXX,attr,reserved
n,register,yes,yes,register,website register is available,bn,নিবন্ধন,ওয়েবসাইট রেজিস্টার উপলব্ধ,Registration,XXX,attr,reserved
v,register,yes,yes,registered,domain is registered here,bn,নিবন্ধভুক্ত,ডোমেইন এখানে নিবন্ধিত,Registered,XXX,attr,reserved
v,register,yes,yes,registering,it is registering at your company,bn,নিবন্ধনের,এটি আপনার কোম্পানিতে নিবন্ধনের হয়,Registration,,attr,reserved
v,register,yes,yes,registers,website registers at your company,bn,খাতাপত্র,আপনার কোম্পানির ওয়েবসাইট রেজিস্টার,Registers,XXX,attr,reserved
n,register,yes,yes,registration,domain registration is cheap,bn,নিবন্ধন,ডোমেইন রেজিস্ট্রেশন সস্তা,Registration,XXX,attr,reserved
n,register,yes,yes,registrations,domain registrations are cheap,bn,নিবন্ধীকরণের,ডোমেইন নিবন্ধন সস্তা,Registration,XXX,attr,reserved
n,register,yes,yes,registries,website registries are available,bn,রেজিষ্ট্রিসমূহ,ওয়েবসাইট রেজিষ্ট্রিসমূহ পাওয়া যায়,Registries,,attr,reserved
n,register,yes,yes,registry,website registry is available,bn,রেজিস্ট্রি,ওয়েবসাইট রেজিস্ট্রি উপলব্ধ,Registry,,attr,reserved
n,reserve,yes,yes,reservation,the reservation of a domain is cheap,bn,সংরক্ষণ,একটি ডোমেন এর রিজার্ভেশন সস্তা,Conservation,XXX,attr,reserved
v,reserve,yes,yes,reserve,reserve your domain,bn,সংচিতি,আপনার ডোমেনের রিজার্ভ,Reserve,XXX,attr,reserved
v,reserve,yes,yes,reserved,domain is reserved,bn,সংরক্ষিত,ডোমেইন সংরক্ষিত,Reserved,,attr,reserved
v,reserve,yes,yes,reserves,he reserves a domain,bn,মজুদ,তিনি একটি ডোমেইন সংরক্ষণ করে,Stock,XXX,attr,reserved
v,reserve,yes,yes,reserving,reserving a domain,bn,সংরক্ষণ,একটি ডোমেন সংরক্ষণ,Conservation,,attr,reserved
n,sale,yes,yes,sale,websites are for sale,bn,বিক্রয়,ওয়েবসাইট বিক্রি হয়,Sale,XXX,attr,sale
n,sale,yes,yes,sales,websites are for sales,bn,বিক্রয়,ওয়েবসাইট বিক্রয় জন্য হয়,Sale,,attr,sale
v,site,yes,yes,site,your new internet site is ready,bn,সাইট,আপনার নতুন ইন্টারনেট সাইটের প্রস্তুত,Site,,core,other
v,site,yes,yes,sites,your new internet sites are ready,bn,সাইট,আপনার নতুন ইন্টারনেট সাইট প্রস্তুত হয়,Site,,core,other
v,suspend,yes,yes,suspend,we suspend your website,bn,ঝুলান,আমরা আপনার ওয়েবসাইটে স্থগিত,Overhang,XXX,attr,blocked
v,suspend,yes,yes,suspended,website is suspended,bn,স্থগিত,ওয়েবসাইট সাসপেন্ড করা হয়েছে,Suspended,XXX,attr,blocked
v,suspend,yes,yes,suspending,suspending of website is definitive,bn,স্থগিত,ওয়েবসাইটের স্থগিত নির্ধারক হয়,Suspended,,attr,blocked
v,suspend,yes,yes,suspends,he suspends his website,bn,স্থগিত,তিনি তার ওয়েবসাইটে স্থগিত,Suspended,,attr,blocked
n,suspend,yes,yes,suspension,website suspension is possible,bn,সাসপেনশন,ওয়েবসাইট সাসপেনশন সম্ভব,Suspension,,attr,blocked
n,suspend,yes,yes,suspensions,domain suspensions are possible,bn,suspensions,ডোমেইন suspensions সম্ভব,suspensions,,attr,blocked
v,take,yes,yes,take,take a new web domain,bn,গ্রহণ করা,একটি নতুন ওয়েব ডোমেইন নিতে,Take,XXX,attr,other
v,take,yes,yes,taken,domain is taken,bn,ধরা,ডোমেইন নেওয়া হয়,Caught,XXX,attr,other
v,take,yes,yes,takes,it takes your domain,bn,লাগে,আপনার ডোমেন লাগে,Takes,,attr,other
v,take,yes,yes,taking,taking your new website,bn,গ্রহণ,আপনার নতুন ওয়েবসাইট গ্রহণ,Taking,,attr,other
v,take,yes,yes,took,took your website,bn,গ্রহণ,আপনার ওয়েবসাইট নেন,Taking,XXX,attr,other
a,unavailable,yes,yes,unavailable,website is unavailable,bn,অপ্রাপ্য,ওয়েবসাইট অনুপলব্ধ,Unavailable,XXX,attr,other
v,undergo,yes,yes,undergo,undergo a website improvement,bn,ভুগা,একটি ওয়েবসাইট উন্নতি ভুগা,Undergo,,attr,other
v,undergo,yes,yes,undergoes,website undergoes improvements,bn,ক্ষয়ের,ওয়েবসাইট ক্ষয়ের উন্নতি,Loss,,attr,other
v,undergo,yes,yes,undergoing,development of website is undergoing,bn,চলছে,ওয়েবসাইটের উন্নয়ন চলছে,Items,,attr,other
v,undergo,yes,yes,undergone,website has undergone an improvement,bn,ঘটানো,ওয়েবসাইট একটি উন্নতি এসেছে,To,XXX,attr,other
v,undergo,yes,yes,underwent,website underwent an improvement,bn,নিয়েছেন,ওয়েবসাইট একটি উন্নতি নিয়েছেন,The,,attr,other
v,upload,yes,yes,upload,upload your website,bn,আপলোড,আপনার ওয়েবসাইট আপলোড,Upload,,attr,starter
n,website,yes,yes,website,this internet website is great,bn,ওয়েবসাইট,এই ইন্টারনেট ওয়েবসাইট মহান,Website,,core,other
n,website,yes,yes,websites,these internet websites are great,bn,ওয়েবসাইট,এই ইন্টারনেট ওয়েবসাইট মহান,Website,,core,other
a,acquire,yes,yes,acquirable,domain is acquirable,bs,acquirable,domena je acquirable,acquirable,,attr,sale
v,acquire,yes,yes,acquire,aquire a website,bs,steći,stiču web,gain,XXX,attr,sale
v,acquire,yes,yes,acquired,website is acquired,bs,stečen,web stranica se stiče,acquired,XXX,attr,sale
n,acquire,yes,yes,acquirer,the acquirer of this website is happy,bs,sticalac,sticalac ovoj stranici sretan,acquirer,,attr,sale
v,acquire,yes,yes,acquires,it acquires your domain,bs,kupio,stekne svoj domen,bought,XXX,attr,sale
v,acquire,yes,yes,acquiring,acquiring a website,bs,sticanje,sticanje web,acquisition,,attr,sale
n,acquire,yes,yes,acquisition,acquisition of website is free,bs,akvizicija,sticanje website je slobodan,acquisition,XXX,attr,sale
n,acquire,yes,yes,acquisitions,website acquisitions for free,bs,akvizicije,web stranica akvizicije za besplatno,acquisitions,,attr,sale
a,authorized,yes,yes,authorized,website is not authorized,bs,ovlašćen,web stranica nije ovlašten,authorized,XXX,attr,other
a,available,yes,yes,available,website is available,bs,dostupan,web stranica je dostupna,available,XXX,attr,other
n,available,yes,yes,availableness,availableness is not guaranteed,bs,availableness,availableness nije zajamčena,availableness,,attr,other
v,block,yes,yes,block,block your website,bs,blokirati,blokirati vaše web stranice,block,,attr,blocked
v,block,yes,yes,blocked,website is blocked,bs,blokiran,web stranica je blokirana,blocked,,attr,blocked
v,block,yes,yes,blocking,blocking your website,bs,blokiranje,blokiranje vaše web stranice,blocking,,attr,blocked
v,buy,yes,yes,bought,domain is bought,bs,kupio,domena kupio,bought,,attr,sale
v,buy,yes,yes,buy,buy this domain,bs,buy,kupiti ovaj domen,buy,XXX,attr,sale
n,buy,yes,yes,buy,a buy of domain is good,bs,buy,buy domena je dobro,buy,,attr,sale
n,buy,yes,yes,buyer,the website buyer is happy,bs,kupac,web kupac je sretan,customer,,attr,sale
n,buy,yes,yes,buyers,the website buyers are happy,bs,kupaca,kupci web stranice su sretni,customers,XXX,attr,sale
v,buy,yes,yes,buying,you are buying this website,bs,kupovina,kupujete ovoj web stranici,purchase,XXX,attr,sale
v,buy,yes,yes,buys,owner buys websites,bs,kupuje,vlasnik kupuje web stranice,buys,,attr,sale
v,censor,yes,yes,censor,how to censor a website,bs,cenzor,kako da cenzuriše web,censor,XXX,attr,blocked
v,censor,yes,yes,censored,website is censored,bs,cenzurisano,sajt je cenzurisan,censored,XXX,attr,blocked
v,censor,yes,yes,censoring,court is censoring this website,bs,cenzuru,Sud je cenzuriranja ove web stranice,censorship,XXX,attr,blocked
v,come,yes,yes,coming,website is coming soon,bs,dolazak,web stranica se uskoro,coming,XXX,other,other
v,construct,yes,yes,construct,how to construct a website,bs,konstruisati,Kako izgraditi web stranice,construct,XXX,attr,construction
n,construct,yes,yes,construct,a construct of website is great,bs,konstruisati,konstrukt web stranice je super,construct,XXX,attr,construction
v,construct,yes,yes,constructed,website is constructed,bs,izgrađena,web stranica je izgrađena,constructed,,attr,construction
v,construct,yes,yes,constructing,constructing a website,bs,izgradnje,izgradnju web stranice,construction,XXX,attr,construction
n,construct,yes,yes,construction,website is under construction,bs,izgradnja,Sajt je u izgradnji,construction,XXX,attr,construction
n,construct,yes,yes,constructions,constructions of a website,bs,konstrukcije,konstrukcije web stranice,structures,,attr,construction
n,construct,yes,yes,constructor,the website constructor is busy,bs,konstruktor,web konstruktor je zauzet,constructor,,attr,construction
n,construct,yes,yes,constructors,website constructors are busy,bs,konstruktori,website konstruktori su zauzeti,constructors,,attr,construction
v,construct,yes,yes,constructs,it constructs a website,bs,konstrukti,to gradi web stranice,constructs,XXX,attr,construction
v,create,yes,yes,create,create your website,bs,stvoriti,stvoriti svoju web,create,,attr,starter
v,create,yes,yes,created,website is created with you,bs,stvorio,web stranica je kreirana s tobom,created,XXX,attr,starter
v,create,yes,yes,creates,he creates his website,bs,stvara,on stvara svoju web stranicu,creates,,attr,starter
v,create,yes,yes,creating,creating your website is good,bs,stvaranje,stvaranje vaše web stranice je dobro,creation,,attr,starter
